Firm,Link,Description,Phone,Address,State,Website,Practice Area
"Serious Injury Law Group, PC",https://www.us-barassociation.org/firms/detail/b997557e8d9b11ac,"Serious Injury Law Group, P.C. is a personal injury firm located in Birmingham, Alabama and serves clients throughout Montgomery, Mobile, and Lowndes County and the surrounding region.",Phone(s): (205) 315-9974 or (877) 978-3275,"One Chase Corporate Drive, Suite 400
Birmingham, Alabama
35244", Alabama,https://www.seriouslawyers.com/,"Medical Malpractice, Motor Vehicle Accidents, Personal Injury"
"Shealy, Crum & Pike",https://www.us-barassociation.org/firms/detail/ebebaad7dccdd4c9,"Shealy, Crum & Pike is a personal injury law firm based in Dothan, Alabama providing legal services to clients throughout the nearby cities and counties of Alabama. Founding attorney Steadman Shealy is a former University of Alabama quarterback and brings the discipline, teamwork, and perseverance he had on the field to his law firm. The firm’s attorneys combine over 70 years of legal knowledge between them and have the experience to take on even the most complex cases. They are experts on matters of personal injury due to their experience as injury attorneys as well as insurance defense attorneys.

The team at Shealy, Crum & Pike fights dedicatedly for the rights of their clients, and has assisted clients with personal injury cases ranging from product liability to motor vehicle accidents, as well as catastrophic injuries and wrongful death. They are also proud to assist injured workers with the filing process for a workers’ compensation claim. Their experience as insurance defense attorneys allows them to evaluate every case realistically and pursue the best results for their clients.

If you or a loved one has been the victim of an injury that was caused by someone else’s negligence, contact a personal injury lawyer immediately. Decisions made in haste without being properly informed can lead to a sloppy settlement that is far from fair. The team at Shealy, Crum & Pike can help make sure that your rights are protected and that your case is resolved with the best possible results.",Phone(s): (334) 677-3000,"2346 West Main Street
Dothan, Alabama
36301", Alabama,https://www.shealycrumandpike.com/,"Business Law, Employment, Estate Planning, Litigation, Motor Vehicle Accidents, Personal Injury"
"Siniard, Timberlake & League, P.C.",https://www.us-barassociation.org/firms/detail/6c4f2c3d839e086e,"Siniard, Timberlake & League, P.C. is a personal injury firm located in Huntsville that serves clients in North Alabama and throughout the state.",Phone(s): (256) 536-0770 or (800) 804-2502,"125 Holmes Avenue Northwest
Huntsville, Alabama
35801", Alabama,https://www.law-injury.com/,"Business Law, Employment, Industry, Litigation, Medical Malpractice, Motor Vehicle Accidents, Personal Injury"
"Sirote & Permutt, PC",https://www.us-barassociation.org/firms/detail/9ca7bd9717521074,"Our professionals place a high priority on serving not only clients but also the communities in which we live and work. To that end, we established Sirote Supports, the firm’s charitable initiative that honors programs dedicated to health, education and the arts. The firm is also proud to be a consistent supporter and fundraising leader for the United Way of Central Alabama.",Phone(s): (205) 930-5100,"2311 Highland Avenue South
Birmingham, Alabama
35205", Alabama,N/A,"Bankruptcy, Business Law, Commercial Law, Criminal Defense, Divorce, Employment, Estate Planning, Family Law, Government, Health Care & Social, Industry, Intellectual Property, Litigation, Real Estate, Tax"
"Sirote & Permutt, PC",https://www.us-barassociation.org/firms/detail/ee56b93a0fcfb408,"Our professionals place a high priority on serving not only clients but also the communities in which we live and work. To that end, we established Sirote Supports, the firm’s charitable initiative that honors programs dedicated to health, education and the arts. The firm is also proud to be a consistent supporter and fundraising leader for the United Way of Central Alabama.",Phone(s): (251) 432-1671,"One St. Louis Centre, Suite 1000
Mobile, Alabama
36602", Alabama,N/A,"Bankruptcy, Business Law, Commercial Law, Criminal Defense, Divorce, Employment, Estate Planning, Family Law, Government, Health Care & Social, Industry, Intellectual Property, Litigation, Real Estate, Tax"
"Slaten Law, P.C.",https://www.us-barassociation.org/firms/detail/fbf6705e7aec9264,"Slaten Law, P.C., is a full-service law firm with a general civil practice balanced between litigation and commercial representation. Based in Montgomery, Alabama, we have offices in three states and affiliated counsel in other jurisdictions throughout the United States. We help businesses and individuals at their most vulnerable time. Litigation is high stress and is potentially a bet-the-company endeavor. Our lawyers have over 100 combined years of litigation experience in numerous state and federal courts.

Everyone at our firm is committed to excellence in the practice of law. Our commitment is reflected in the continuous development of the scope and depth of our practice to respond to and anticipate the needs of our diverse and sophisticated clients.

Our attorneys have extensive experience in a range of areas. Our founding partner, Clifton E. Slaten, has been practicing law since 1987 and has been peer review-rated AV Preeminent* through Martindale-Hubbell rating service. We believe in partnering with our clients to produce the best results in an efficient and cost-effective manner. We offer a variety of billing strategies — including flat-fee, task-based, value and traditional hourly billing or any combination thereof — to best serve each client.",Phone(s): (334) 328-3894 or (877) 464-5022,"7027 Halcyon Park Drive
Montgomery, Alabama
36117", Alabama,N/A,"Business Law, Employment, Litigation, Medical Malpractice, Personal Injury, Real Estate"
"Spain & Gillon, LLC",https://www.us-barassociation.org/firms/detail/8ec1ef9555ba0084,"We are in the relationship business. There's a reason we’ve enjoyed long-term associations with many of our clients over the last 100 years: We don't take these relationships for granted.

We know our clients and we understand their businesses. Because we are intimately familiar with our clients’ operations and their goals, we can better evaluate the risks they face and the opportunities available to them.

We are dedicated to helping our community. As a Firm and as individuals, we are involved in a wide variety of community organizations that have significantly contributed to Birmingham’s progress.",Phone(s): (205) 328-4100,"505 20th Street North, Suite 1200
Birmingham, Alabama
35203", Alabama,N/A,"Business Law, Estate Planning, Government"
"Sree B. Ravi, P.C., Attorney at Law",https://www.us-barassociation.org/firms/detail/a406fd3ea254e699,"Family law issues affect every aspect of your personal life. Whether you are going through a divorce or seeking modifications or enforcement of a child support or custody order, you need a reliable, knowledgeable advocate. Serving clients throughout Northern Alabama, Sree B. Ravi, P.C., Attorney at Law offers strong legal support in a caring environment for divorce and family law matters. Additional services we provide are DUI representation, will preparation, and landlord/tenant dispute resolution.

At Sree B. Ravi, P.C., Attorney at Law, we focus on your needs and building a strong relationship with you. We offer a free initial consultation to discuss your case. Our office is conveniently located near the Madison County Courthouse in Huntsville.",Phone(s): (256) 690-6044,"221 Eastside Square, Suite 1
Huntsville, Alabama
35801", Alabama,https://www.sreeravilaw.com/,"Criminal Defense, Divorce, Estate Planning, Family Law, Litigation"
Starnes Davis Florie LLP,https://www.us-barassociation.org/firms/detail/62a8892b1c331359,"Starnes Davis Florie LLP, founded in 1975, is a litigation law firm in Alabama. More than 60 attorneys strong, the firm maintains a diverse civil litigation practice, including a full service labor and employment litigation section. The firm works for clients in a variety of areas: from corporations, hospitals, banks, and municipalities to doctors, attorneys, architects, and accountants.

Starnes Davis Florie's attorneys collectively handle a high number of complex jury trials and rank among the most experienced litigators in the South. They are known for their courtroom presence, and handle business, securities and malpractice cases with skill and finesse. Starnes Davis Florie is regularly requested to represent clients in litigation throughout the United States. We have attorneys licensed in seven jurisdictions and have handled a wide variety of matters, including individual matters, trials, and class actions in twenty-six states. Starnes Davis Florie is a responsive, talented firm that takes pride in maintaining state-of-the-art technology and comprehensive legal and medical libraries. The firm's lawyers expand and improve their knowledge base through periodic in-house legal education programs.",Phone(s): (251) 433-6049,"11 North Water Street, Suite 20290
Mobile, Alabama
20290", Alabama,N/A,"Business Law, Commercial Law, Employment, Government, Health Care & Social, Industry, Intellectual Property, Litigation, Medical Malpractice, Personal Injury, Real Estate"
Starnes Davis Florie LLP,https://www.us-barassociation.org/firms/detail/45fa312bb1caa6ad,"Starnes Davis Florie LLP, founded in 1975, is a litigation law firm in Alabama. More than 60 attorneys strong, the firm maintains a diverse civil litigation practice, including a full service labor and employment litigation section. The firm works for clients in a variety of areas: from corporations, hospitals, banks, and municipalities to doctors, attorneys, architects, and accountants.

Starnes Davis Florie's attorneys collectively handle a high number of complex jury trials and rank among the most experienced litigators in the South. They are known for their courtroom presence, and handle business, securities and malpractice cases with skill and finesse. Starnes Davis Florie is regularly requested to represent clients in litigation throughout the United States. We have attorneys licensed in seven jurisdictions and have handled a wide variety of matters, including individual matters, trials, and class actions in twenty-six states. Starnes Davis Florie is a responsive, talented firm that takes pride in maintaining state-of-the-art technology and comprehensive legal and medical libraries. The firm's lawyers expand and improve their knowledge base through periodic in-house legal education programs.",Phone(s): (205) 868-6000,"100 Brookwood Place, 7th Floor
Birmingham, Alabama
35209", Alabama,N/A,"Business Law, Commercial Law, Employment, Government, Health Care & Social, Industry, Intellectual Property, Litigation, Medical Malpractice, Personal Injury, Real Estate"
"Stewart Howard, PC",https://www.us-barassociation.org/firms/detail/779b582e4f26ea9c,"Stewart Howard, P.C. is a Mobile-based personal injury law firm representing clients throughout southern Alabama and Mississippi. We are committed to protecting individuals and families facing an injury or wrongful death caused by an accident, neglect, defective products, and more. Our experienced team will advocate for your rights with tireless dedication and authentic understanding.

The lawyers at Stewart Howard, P.C. bring a combined 60 years of experience to every case, with a strong history of successful trials and negotiations. Whether you need to bring your case before the court or are just trying to navigate a straightforward settlement, we’re here to provide the advocacy, legal expertise, and support you need.

Stewart Howard, P.C. handles a full range of personal injury cases, including car accidents, workplace or construction injuries, defective drugs, property damage, slip-and-fall accidents, nursing home abuse, and funeral home neglect. We work on a contingency basis, meaning you won’t owe us a dime until we bring your case to a successful conclusion. Litigation cases can often be long and stressful – and expensive – which is why Stewart Howard, P.C. aims to get you a fair and satisfactory settlement, while serving you with compassion and commitment.",Phone(s): (251) 431-9364,"411 St. Francis Street
Mobile, Alabama
36633", Alabama,N/A,"Employment, Medical Malpractice, Motor Vehicle Accidents, Personal Injury, Real Estate"
"Stokes Stemle, LLC",https://www.us-barassociation.org/firms/detail/504f65e45d4c5edb,"Stokes Stemle, LLC is a personal injury firm located in Montgomery, Alabama that serves clients in the surrounding region and throughout the state.",Phone(s): (334) 316-4123,"445 Dexter Avenue, Suite 4050
Montgomery, Alabama
36104", Alabama,https://stokesstemle.com/,"Business Law, Motor Vehicle Accidents, Personal Injury"
"Swift, Currie, McGhee & Hiers, LLP",https://www.us-barassociation.org/firms/detail/f22168b710e55674,"With offices in Georgia and Alabama, Swift Currie is nationally known for defending clients in significant litigation. This reputation has helped us become the largest law firm in Georgia focused exclusively on litigation.

At Swift Currie, we don’t take ourselves too seriously, but we do take our clients and their matters very seriously. We are committed to developing relationships with our clients to achieve their goals in the most efficient and practical manner.

More than 50 years of litigation experience has put us at the forefront of legal writing, speaking and educating our clients. For example, we continue to author the Georgia Workers' Compensation Law and Practice book and Mercer Law Review’s Insurance chapter of the Annual Survey of Georgia Law.",Phone(s): (205) 314-2401,"2 North 20th St., Suite 1405
Birmingham, Alabama
35203", Alabama,N/A,"Business Law, Criminal Defense, Employment, Litigation, Medical Malpractice, Personal Injury, Real Estate"
Taylor & Taylor,https://www.us-barassociation.org/firms/detail/3bb411645bf1496d,"Taylor & Taylor has been focused on protecting the rights and interests of individuals and businesses, since its founding in 1967. The firm has a winning history throughout Alabama trying lawsuits and fighting for claimants in all types of litigation. Taylor & Taylor is a full service trial and appellate practice law firm. It is prepared to carry each case from the point of incident throughout the entire appeals process. Its practice extends to all corners of the state and beyond, and its lawyers have superior trial experience at all court levels.

Forty-four years ago, when specialization was not the trend, Ted Taylor dedicated his practice to relentlessly pursuing a brighter horizon for those who have been wronged and whose fortunes and future seem bleak. Today, Taylor & Taylor continues its singular focus on plaintiff cases throughout the Southeastern United States. The firm approaches each case with two primary goals: to obtain the best results for the client and to do so in an efficient and cost effective manner.

The firm specializes in bank and insurance fraud, wrongful death, personal injury, auto accidents and spinal cord injury cases. Whether settling out of court, trying cases before juries or handling your appeal at the highest level, Taylor & Taylor is equipped to handle your case through the entire litigation process.",Phone(s): (800) 379-5500,"2130 Highland Avenue South
Birmingham, Alabama
35205", Alabama,N/A,"Business Law, Litigation, Medical Malpractice, Motor Vehicle Accidents, Personal Injury"
Taylor & Taylor,https://www.us-barassociation.org/firms/detail/aad12bde415b3363,"Taylor & Taylor has been focused on protecting the rights and interests of individuals and businesses, since its founding in 1967. The firm has a winning history throughout Alabama trying lawsuits and fighting for claimants in all types of litigation. Taylor & Taylor is a full service trial and appellate practice law firm. It is prepared to carry each case from the point of incident throughout the entire appeals process. Its practice extends to all corners of the state and beyond, and its lawyers have superior trial experience at all court levels.

Forty-four years ago, when specialization was not the trend, Ted Taylor dedicated his practice to relentlessly pursuing a brighter horizon for those who have been wronged and whose fortunes and future seem bleak. Today, Taylor & Taylor continues its singular focus on plaintiff cases throughout the Southeastern United States. The firm approaches each case with two primary goals: to obtain the best results for the client and to do so in an efficient and cost effective manner.

The firm specializes in bank and insurance fraud, wrongful death, personal injury, auto accidents and spinal cord injury cases. Whether settling out of court, trying cases before juries or handling your appeal at the highest level, Taylor & Taylor is equipped to handle your case through the entire litigation process.",Phone(s): (800) 379-5500,"114 East Main Street
Prattville, Alabama
36067", Alabama,N/A,"Business Law, Litigation, Medical Malpractice, Motor Vehicle Accidents, Personal Injury"
"The Anderson Law Firm, L.L.C.",https://www.us-barassociation.org/firms/detail/02ed56ad0f910fc1,"Alabama attorney Charles L. Anderson founded Anderson Law Firm, L.L.C., a young and vigorous mid-sized firm serving the needs of middle-income individuals and small businesses, in 1997. The firm's lawyers provide assistance with many types of legal issues: from estate planning to business planning, transactions to alternative dispute resolution, and personal injury litigation in all Alabama state and federal trial and appellate courts. Anderson lawyers are well versed in a broad spectrum of legal fields, and will, for each issue, help you choose the most efficient means of resolution. Some clients simply need an answer to a question or concern, while others may require the involvement of a team of Alabama trial attorneys and a variety of legal measures.

Attorney Charles L. Anderson founded our law offices in 1997 with one special mission: to serve those who have been overlooked by our justice system, namely Alabama's individuals and small businesses. Our firm's experienced lawyers continue to be committed to excellent service and representation for all clients, in a broad range of practice areas such as accident personal injury, family law, bankruptcy and criminal defense.

Mr. Anderson is a litigator with 25 plus years of experience, as well as a registered dispute mediator with the Alabama Center for Dispute Resolution. The Anderson Law Firm, L.L.C., also serves as the LegalShieldsm, provider for the state of Alabama.",Phone(s): (334) 694-1039 or (800) 518-1847,"7515 Halcyon Pointe Drive
Montgomery, Alabama
36117", Alabama,N/A,"Bankruptcy, Business Law, Commercial Law, Criminal Defense, Divorce, Employment, Estate Planning, Litigation, Motor Vehicle Accidents, Personal Injury"
"The Atchison Firm, P.C.",https://www.us-barassociation.org/firms/detail/e2bbc35e33bed197,"The Atchison Firm, P.C. is an experienced law firm located in Mobile, Alabama. Our attorneys have more than 250 combined years of legal experience handling all types of matters, in state and federal courts, and licensed in Alabama, Mississippi, and Florida. With attorneys experienced in a wide variety of business and governmental practice areas, the firm provides the highest levels of legal advice, advocacy, and counsel. The firm is listed in Martindale-Hubbells Bar Register of Preeminent Lawyers.",Phone(s): (251) 665-7200,"3030 Knollwood Drive
Mobile, Alabama
36693", Alabama,N/A,"Business Law, Employment, Estate Planning, Government, Litigation, Personal Injury, Real Estate"
"The Dodd Law Firm, LLC",https://www.us-barassociation.org/firms/detail/cdcb80c7ce2da167,"The Dodd Law Firm LLC focuses their practice on cases involving DUI, drunk driving and criminal defense. He is a trusted and respected legal professional who has earned recognition among the Super Lawyers, Rising Stars.

The Dodd Law Firm is trial-ready and capable of defending your rights in even the toughest courtroom. The firm explores all available avenues of legal remedy in pursuit of justice.

From offices located in Birmingham, Alabama, the Dodd Law Firm serves all of the following communities: Alabaster, Birmingham, Calera, Chelsea, Childersburg, Columbiana, Harpersville, Helena, Hoover, Indian Springs Village, Inverness, Lake Purdy, Leeds, Meadowbrook, Montevallo, Pelham, Saginaw, Shelby, Sterrett, Vandiver, Vincent, Westover, Wilsonville, and Wilton.",Phone(s): (205) 327-8388,"2323 2nd Avenue North, Suite 111
Birmingham, Alabama
35203", Alabama,N/A,Criminal Defense
The Hawkins Law Firm,https://www.us-barassociation.org/firms/detail/01339dd63b4df782,"Welcome to The Hawkins Law Firm. Our firm assists individuals, families and businesses in key areas that we believe are most important to them. By focusing on family law, estate planning, probate law, business law, criminal law, litigation, mediation and appellate advocacy, our firm is able to provide excellent legal services to a broad range of clients. Our focused approach eliminates the outdated practice model of trying to be all things to all people. Instead, we strive to be your guide through complex issues and problems in areas that matter most to you.

Lana Hawkins, the firm’s founder and senior partner, currently serves as the Chair of the Committee on Child Support for the Family Law Section of the American Bar Association. She was selected for a Lifetime Achievement Award by America’s Top 100 Attorneys in 2019. Ms. Hawkins was recognized as a Top 10 Best Attorney for Client Satisfaction by The American Institute of Family Law Attorneys in 2015, as a Top 100 Family Lawyer by ASLA in 2014 and by The National Advocates in 2015. The American Academy of Trial Attorneys named Ms. Hawkins as a Top 100 Trial Attorney in the state of Alabama in 2015. Ms. Hawkins works with a team of attorneys, law clerks, paralegals and administrative staff to ensure that the firm’s work is produced with clarity and efficiency at every stage of representation. The firm’s three offices are located in Guntersville, Huntsville, and Arab. The firm represents clients throughout Alabama, including Marshall, Madison, DeKalb, Etowah, Jackson, Morgan, Cullman, Limestone and Blount counties.

We are here to help individuals and families in divorce and modification matters, custody and child support issues, paternity adjudications, dependency cases, adoption, domestic violence and other criminal law matters. We also assist our clients with estate planning matters, ranging from wills and trusts to health care directives, powers of attorney and incapacity planning. Our probate law practice includes estate administration, conservatorships, guardianships, will contests and estate litigation. For entrepreneurs and business people who need assistance in business and corporate law matters, the firm offers a wealth of experience. The firm’s litigation, mediation and appellate advocacy practices complement its key areas and also include most civil proceedings.",Phone(s): (256) 705-3593,"600 Boulevard South SW, Suite 104
Huntsville, Alabama
35802", Alabama,N/A,"Business Law, Divorce, Estate Planning, Family Law, Litigation, Real Estate"
"The Law Offices of Brian Turner, LLC",https://www.us-barassociation.org/firms/detail/f17d6d0c3b792292,"The Mediation & Law Offices of Brian Turner strives to provide the highest level of legal representation to each of our clients in the most efficient and cost-effective manner possible. We represent clients ranging from individuals to corporations with the dedication, compassion, and personal attention that only a smaller law firm can provide. We have represented individual and business clients throughout Alabama and across the United States and have served on steering committees of several national litigations.

Our staff is trained to utilize the latest computer and legal research technology available; this allows us to streamline the litigation process, save our clients' valuable time and money, and allows us to maintain constant communication with each of our clients. Using this technology also helps us level the playing field when we litigate on our clients' behalf against large corporate defendants. Our law firm handles many complex litigation matters, and these cases are typically time-consuming and difficult. They often require us to consult experts and gather volumes of evidence. Due to the complicated nature of these cases, it is important for our attorneys to maintain open communication with our clients and always keep them updated as to their cases' progress.

Both state and federal law heavily regulate class action lawsuits. Because of the specialized nature of these cases, it is important that your attorneys are experienced and focused in staying current with all of the regulations and changes in law at all levels of government. Our work on national lawsuits provides us with the experience and understanding of both Alabama and Federal laws regarding these complicated types of cases. Our prior experience in many types of litigation gives us a unique insight and understanding into our clients' legal matters. Call Attorney Brian Turner for legal help with your divorce, business, family law, products liability or contract negotiation disputes. 1-866-322-6196.",Phone(s): (205) 643-0844,"1910 28th Avenue South
Homewood, Alabama
35209", Alabama,N/A,"Business Law, Divorce, Family Law, Health Care & Social, Litigation, Medical Malpractice, Motor Vehicle Accidents, Personal Injury"
"The Law Offices of Rufus R. Smith, Jr.",https://www.us-barassociation.org/firms/detail/b71400fb768897aa,"The Law Offices of Rufus R. Smith, Jr. provides legal representation in personal injury cases and business litigation matters for clients throughout Alabama, Southeast Georgia, and Northwest Florida. Our compassionate approach to personal injury law only extends to our clients—we aggressively protect you and your family. We make sure you are informed and understand what is happening throughout each phase of your case, and we are always available to answer any questions you may have. Rufus Smith's record for obtaining large verdicts and settlements on behalf of clients demonstrates our commitment to fighting tenaciously for you.

With 36 years of trial experience, we have the in-depth knowledge and courtroom experience necessary to help your case reach a positive outcome. Since 1974, Rufus Smith has served as lead counsel or co-lead counsel in more than 200 complex cases that have resulted in verdicts or settlements between $100,000 and $80,000,000. He is a member of the Million Dollar Advocates Forum and has been an AV® PreeminentTM Peer Review RatedSM attorney by Martindale-Hubbell® for 20 years. Rufus Smith is the only personal injury lawyer in the area to be named to The Best Lawyers in America for each of the last 15 years.

An accident can wreak havoc on your life. A skilled personal injury attorney can help you regain control and protect your future by attaining a favorable verdict or settlement. At The Law Offices of Rufus R. Smith, Jr. we have spent nearly four decades fighting on behalf of personal injury victims throughout Alabama, Southeast Georgia, and Northwest Florida. If you or a loved one has been injured in an accident caused by someone else's negligence, we can help",Phone(s): (888) 614-4279,"Office 129 South St. Andrews Street
Dothan, Alabama
36302", Alabama,N/A,"Business Law, Employment, Litigation, Medical Malpractice, Motor Vehicle Accidents, Personal Injury"
The Law Offices of Zackery L. Burr,https://www.us-barassociation.org/firms/detail/b02a28892b7ccfb7,"The Law Offices of Zackery L. Burr, LLC provide dedicated and practical service in all areas of family law. Our commitment is to help families in and around Montgomery, Alabama find peace and confidence in any situation. You can trust us to handle your case with honest investment and the utmost respect, whatever your circumstances are.

We provide representation in cases of divorce or separation, child custody, and other related matters. Our skills also extend to adoptions, estate planning, and the probate process. Whether you’re currently going through a difficult legal situation, or are looking towards your family’s future happiness and security, we will support you with expert counsel, vigorous representation, and compassionate support.

Founding attorney Zackery L. Burr practices law out of a commitment to improving the state of Alabama through the strengthening of families. Your security and peace of mind at home can have a great impact on all areas of life. The Law Offices of Zackery L. Burr is here to help you obtain the legal stability, confidence, and happiness your family deserves.",Phone(s): (334) 245-0725,"8 Commerce Street, Suite 410
Montgomery, Alabama
36104", Alabama,N/A,"Divorce, Estate Planning, Family Law"
"The Martin Law Group, LLC",https://www.us-barassociation.org/firms/detail/f14b600f0f575488,"ERISA is often used against claimants. ?We use it for them.? Our ERISA disability and long-term disability lawyers are dedicated to providing trusted legal advice and services to ensure that our clients in Alabama, Mississippi, and around the country, receive the benefits they deserve.

?Experienced counsel are critical in ERISA cases, and few lawyers wish to venture into that arena because it is unique and complex. Our Alabama and Mississippi long-term disability lawyers focus on ERISA cases: long-term disability, short-term disability insurance benefits, retirement and pension benefits, as well as life insurance benefits. We have found that by doing one thing, and doing it well, we can provide a valuable service to our clients.

Our clients benefit from the knowledge and experience of all of our ERISA disability and long-term disability attorneys. We jointly analyze every case on a regular basis in “roundtable” discussions. Every case is important to us at The Martin Law Group, LLC, ERISA Case Lawyers. Whether you are looking for a short-term or long-term disability attorney or a retirement, pension and social security disability attorney, we are ready to help you find justice. Long-term disability insurance companies and plan administrators take advantage of federal law’s governance of ERISA claims. They hire experienced ERISA defense counsel who are more comfortable in federal court. These attorneys handle many cases over a wide geographic region for that insurance company or administrator.",Phone(s): (205) 343-1771 or (800) 284-9309,"2323 2nd Avenue North
Birmingham, Alabama
35203", Alabama,N/A,"Business Law, Employment, Health Care & Social"
The Segrest Law Firm,https://www.us-barassociation.org/firms/detail/7a74c9582eb8f864,"The Segrest Law Firm has provided creative solutions for clients in many areas, such as family law, domestic relations, personal injury, real estate, and estate planning throughout Central Alabama. Whatever the nature of your legal problem, the firm invites you to discuss it with them. Regardless of the area of law, the Segrest Law Firm may be able to help. If they determine that your problem would be more appropriately handled by other attorneys or professionals outside the firm, they will provide you with a personal referral.

A member of the bar since 1967, Dale Segrest was elected circuit judge in Alabama's Fifth Judicial Circuit, where he served Macon, Tallapoosa, Chambers, and Randolph counties for 18 years. So, Judge Segrest understands from his own experience how other lawyers and judges think. As a circuit judge, he dealt with every type of case presented in a court of general jurisdiction in rural Alabama. He can draw on this deep well of knowledge to help his clients prevail in legal matters of all kinds. He believes that a commitment to truth is a centerpiece in problem solving and professionalism.

His holistic understanding of the law creates a solid groundwork for all his cases. His commitment to his legal career, the community, and the field pay off for his clients in his determination to obtain justice for their claims and solutions to their problems.",Phone(s): (334) 252-0036,"301 King Street
Tallassee, Alabama
36078", Alabama,N/A,"Business Law, Criminal Defense, Divorce, Employment, Estate Planning, Family Law, Litigation, Personal Injury, Real Estate"
"The Wininger Law Firm, LLC",https://www.us-barassociation.org/firms/detail/21f7151474428bfb,"The Wininger Law Firm, LLC has been representing injury victims in Birmingham, Alabama and surrounding areas since 1964. Our commitment is to helping individuals get the care they need through personal injury, wrongful death, and workers’ compensation cases. As a firm, we operate under core values of integrity, professional excellence, and results-focused advocacy.

We have a long-standing reputation for winning cases, working aggressively to get our clients the results they deserve. At the same time, we aim to cultivate a welcoming family environment, serving our clients with the personal investment and compassion that means so much at such a difficult time. Ultimately, our goal is to ensure you find the security, treatment, and peace of mind you need for your future.

Our focus areas include vehicle and pedestrian accidents, injuries caused by an alcohol or drug-impaired driver, defective products, railroad or mining accidents, and workers compensation cases. We also represent sexual assault and abuse victims. In any case, we will apply all our knowledge, skill, and determination to ensuring your rights are protected and your needs are met.",Phone(s): (205) 322-3663 or (888) 808-4658,"517 Richard Arrington Jr. Boulevard North
Birmingham, Alabama
35203", Alabama,N/A,"Business Law, Criminal Defense, Employment, Industry, Medical Malpractice, Motor Vehicle Accidents, Personal Injury"
"The Yeatts Law Firm, LLC",https://www.us-barassociation.org/firms/detail/31c25027caa22fa0,"The Yeatts Law Firm, LLC is located in Birmingham, Alabama and concentrates in family law. The firm offers clients a fresh approach to family law matters including contested and uncontested divorce, collaborative divorce, child support and visitation, child custody and adoption, paternity,",Phone(s): (205) 530-1331,"2007 3rd Ave. N.
Birmingham, Alabama
35203", Alabama,N/A,"Criminal Defense, Divorce, Family Law, Litigation"
"Thomas, Means, Gillis & Seay, P.C.",https://www.us-barassociation.org/firms/detail/9efddcb8b898c043,"Thomas, Means, Gillis & Seay, P.C., is a civil trial law firm providing legal services to businesses and individuals throughout Alabama and Georgia. Our trial lawyers have handled some of the most challenging and notable cases tried in the southern United States over the past quarter century. We take pride in representing both mainstream and underserved communities in our society. We offer clients experienced legal advice and representation in a range of legal matters.

Since our founding in Montgomery, Alabama more than twenty-seven years in July of 1981, our firm has taken pride in successfully helping many families who face serious injury and death due to the fault of others. We have handled more than seventy-five (75) cases resulting in million dollar and multi-million dollar results over the years throughout Alabama and Georgia, including the second highest jury verdict in the country in 1996 in the amount of $150 million. We have also handled many such cases in other states. We take considerable pride in being ""committed professionals dedicated to making the justice system work.""

We have handled and continue to handle a wide variety of claims and lawsuits on behalf of a very diverse clientele. Most of our cases are settled on a confidential basis. Also, we are mindful of the privacy rights of our clients. However, we want you to know a little about how we have helped our clients over the years. While our firm's practice areas are predominately wrongful death and personal injury cases, particularly commercial motor vehicle collisions and other vehicular accidents, a wide variety of products liability cases, nursing home litigation, and premises liability cases, we also have a veteran and thriving public sector defense litigation practice and provide counsel to a number of governmental agencies at various levels of government. We also assist our clients with obtaining Social Security Disability benefits preparing wills, powers of attorney and advanced directives drafting, negotiating, and reviewing a wide variety of contracts as well as criminal defense. One thing we DO NOT do is work for the insurance companies. Rather, we make them answer to us.

Our veteran team of litigators collectively possess a great wealth of experience handling a wide variety of legal matters, and each of our attorneys bring unique skills, experiences, and perspectives to our firm, which allows us to handle a variety of complex cases that many other firms with less diversity and experience may be not be equipped to handle. While the primary focus of our firm is civil litigation, our attorneys have also handled cases ranging from complex and high profile white-collar criminal defense to smaller pro bono work for deserving clients who otherwise could not afford legal representation.",Phone(s): (205) 328-7915 or (800) 218-8104,"505 20th Street North, Suite 400
Birmingham, Alabama
35202", Alabama,N/A,"Business Law, Criminal Defense, Employment, Estate Planning, Health Care & Social, Litigation, Medical Malpractice, Motor Vehicle Accidents, Personal Injury"
